width,height,resolution_mp,entropy,edge_density,color_variance,laplacian_variance,file_size_bytes,optimal_quality,source_file
2040,1404,2.864,7.2213,0.0918,2450.433,201.617,4953978,50,0001.png
2040,1848,3.77,7.2288,0.12207,2192.335,2430.401,7105219,70,0002.png
2040,1356,2.766,7.6846,0.16067,3403.658,1772.874,5269346,40,0003.png
2040,1344,2.742,7.5263,0.03736,4147.427,526.214,3126327,40,0004.png
1608,2040,3.28,7.5273,0.11737,3199.835,777.5,5982361,50,0005.png
1356,2040,2.766,7.442,0.02532,2930.646,284.678,3683559,50,0006.png
2040,1356,2.766,7.6273,0.19324,3717.996,2689.149,5922483,60,0007.png
2040,1356,2.766,7.5979,0.08279,4764.778,689.487,4877716,70,0008.png
2040,1524,3.109,7.6447,0.11013,5890.838,1933.858,5741871,60,0009.png
2040,1644,3.354,7.4997,0.07796,2561.122,849.953,6114081,80,0010.png
2040,1356,2.766,7.657,0.12778,2891.575,631.61,4964392,30,0011.png
2040,1356,2.766,7.7583,0.0737,4029.383,979.016,4620733,30,0012.png
2040,1368,2.791,4.4615,0.02477,2443.322,2135.35,2350238,30,0013.png
1356,2040,2.766,7.6368,0.07813,2706.078,968.971,3097118,90,0014.png
2040,1356,2.766,7.3772,0.12146,3183.606,1455.468,4990646,30,0015.png
2040,1356,2.766,7.5814,0.08541,4845.263,376.952,4823998,60,0016.png
2040,1356,2.766,7.5981,0.09638,5697.899,435.072,4413273,50,0017.png
2040,1368,2.791,7.5623,0.07754,5668.613,537.474,3473570,30,0018.png
2040,1536,3.133,7.1647,0.14844,3109.62,790.61,5900706,60,0019.png
2040,1392,2.84,6.9889,0.02349,2701.049,148.461,3795639,30,0020.png
2040,768,1.567,7.6153,0.09322,4558.457,1244.127,2300972,40,0021.png
2040,960,1.958,7.7112,0.18439,3211.293,2709.814,3907894,50,0022.png
2040,1356,2.766,7.053,0.00934,1870.446,31.414,2941889,30,0023.png
2040,1356,2.766,7.4991,0.0354,5504.333,395.882,4741595,90,0024.png
1140,2040,2.326,7.0585,0.05725,1936.192,430.509,3990145,80,0025.png
2040,1536,3.133,7.8446,0.20379,5974.289,4464.796,6973463,50,0026.png
2040,1548,3.158,7.504,0.06224,2274.177,815.202,4279662,30,0027.png
2040,1992,4.064,7.7345,0.03549,5068.577,317.406,6221622,80,0028.png
2040,1356,2.766,7.6051,0.20313,4598.118,5445.998,6441484,50,0029.png
2040,1272,2.595,7.661,0.09117,4760.719,878.354,4550858,70,0030.png
2040,1356,2.766,7.6866,0.14963,4760.688,1124.708,4833865,40,0031.png
