width,height,resolution_mp,fps,duration_sec,avg_motion_magnitude,avg_edge_density,avg_entropy,file_size_bytes,optimal_crf,source_file
1920,1080,2.074,30.0,5.17,3.2152,0.13712,7.3887,13745269,30,video1.mp4
2160,3840,8.294,23.98,10.01,3.8525,0.00725,7.4674,30007261,42,video10.mp4
3840,2160,8.294,25.0,14.84,5.8579,0.0078,7.5246,22616509,42,video11.mp4
3840,2160,8.294,23.98,19.48,4.6774,0.00675,7.2364,43665055,46,video12.mp4
1920,1080,2.074,25.0,11.84,2.1943,0.003,6.9789,5650372,46,video13.mp4
3840,2160,8.294,29.97,16.55,9.4321,0.04511,7.7074,95852451,30,video14.mp4
3840,2160,8.294,29.97,14.41,12.2197,0.09838,7.2705,46573798,30,video15.mp4
4096,2160,8.847,59.94,29.03,11.7795,0.06634,7.389,183237292,30,video16.mp4
1920,1080,2.074,50.0,44.42,8.9694,0.06781,6.4965,59778225,26,video18.mp4
1920,1080,2.074,25.0,25.32,11.2814,0.07539,7.3125,16162428,34,video2.mp4
3840,2160,8.294,23.98,11.72,9.2503,0.06291,7.2249,38945842,34,video3.mp4
3840,2160,8.294,23.98,20.81,2.0161,0.00204,6.5691,37315381,46,video4.mp4
2160,3840,8.294,24.0,8.38,15.6055,0.12096,7.7247,38708901,34,video5.mp4
1080,1920,2.074,60.0,5.43,5.8152,0.04644,7.4448,4600336,26,video6.mp4
3840,2160,8.294,59.94,5.0,6.6221,0.00737,7.7511,26676639,34,video7.mp4
2160,3840,8.294,30.0,79.0,7.433,0.0714,4.374,399143269,30,video8.mp4
1440,2560,3.686,29.97,55.02,1.7838,0.22703,7.8048,94092158,30,video9.mp4
